0,Cloud Architect / Cloud Data Engineer / DevOps Engineer / Data Scientist (m/w/d),vor 9 Stunden,REMONDIS IT Services GmbH & Co. KG,"Münster, Baden","saracus ist eines der führenden unabhängigen Beratungsunternehmen für Data & Analytics in der Cloud und On-Premises im deutschsprachigen Raum mit mehr als 100 Consultants. Sie möchten alles über & Analytics in der Cloud und On-Premises erlernen, um es dann in spannenden Projekten umzusetzen? * Alternativ Basic-Know-how aus den Bereichen Cloud-Entwicklung (MS Azure, AWS, GCP) Cloudera oder tiefgründiges Science Know-how",https://www.stepstone.de/stellenangebote--Cloud-Architect-Cloud-Data-Engineer-DevOps-Engineer-Data-Scientist-m-w-d-Muenster-Baden-saracus-consulting-GmbH--8214647-inline.html,stepstone,2023-03-18 12:46:25,Data Engineer
1,Data Engineer (m/w/d),vor 2 Tagen,Riverty,Lünen,"In Deiner Position als Data Engineer hilfst Du uns dabei, Schnittstellen zu konzeptionieren und diese effizient und nachhaltig zu realisieren * Erste Erfahrungen mit unseren Tools (Clover DX und lobster_ sind wünschenswert, jedoch keine Voraussetzung",https://www.stepstone.de/stellenangebote--Data-Engineer-m-w-d-Luenen-REMONDIS-IT-Services-GmbH-Co-KG--9227304-inline.html,stepstone,2023-03-18 12:46:25,Data Engineer
2,Data Governance Engineer (m/f/d),vor 3 Tagen,Riverty,"Berlin, Stockholm, Amsterdam, Oslo, Tallinn, Baden-Baden, Verl","In this role you will work directly with analytics, data architecture, and data engineering stakeholders to ensure our ecosystem maintains the highest standards for quality across our global footprint. Our ambition is higher and now we have a great opportunity for a Governance (m/f/d) to join our growing team. to enable driven business insights while adhering to all compliance guidelines globally to seamlessly deliver best-in-class consumer applications across our streaming properties. This role requires acute attention to detail, a strong sense of accountability, collaboration and understanding of large-scale cloud platform infrastructure. * Support quality roadmaps, strategy, a",https://www.stepstone.de/stellenangebote--Data-Governance-Engineer-m-f-d-Berlin-Stockholm-Amsterdam-Oslo-Tallinn-Baden-Baden-Verl-Riverty--9336790-inline.html,stepstone,2023-03-18 12:46:25,Data Engineer
3,(Senior) Data Engineer (m/f/d),vor 5 Tagen,Kasseler Verkehrs- und Versorgungs GmbH,"Berlin, Baden-Baden, Verl","Our ambition is higher and now we have a great opportunity for a Data Engineer (m/f/d) to join our growing team. to create and manage BI and analytics solutions that turn data into knowledge using cutting-edge technology. In this role you will work extensively with data and data analysis in a variety of tools and methods. We expect you to be truly interested in data and love to work and wrangle with it. Ultimately, you will enhance our business intelligence solutions to help us make better decisions and become a more data driven company. * Semantic Power BI data modelling and dashboarding for requested initiatives. * Take lead in design and development of ETL solutions using Azure Data Factory, Databricks and other data tools. * Collaborate with international teams to integrate varieties of systems ultimately creating the 'Riverty data universe'.",https://www.stepstone.de/stellenangebote--Senior-Data-Engineer-m-f-d-Berlin-Baden-Baden-Verl-Riverty--9322345-inline.html,stepstone,2023-03-18 12:46:25,Data Engineer
4,IT-Data Engineer (m/w/d),vor 1 Woche,CTH Gesellschaft für Entscheidungs- und Informationssysteme mbH,Kassel,"Als IT-Data Engineer (m/w/d) führen Sie Datenplattformen im Big Data-Umfeld ein und entwickeln diese weiter. * Auch die Themengebiete Ingestion, Transformation, Speicherung und Präsentation von verschiedenen Datenquellen sind Teil Ihres Aufgabenportfolios. * Sie unterstützen das Team im Auf- und Ausbau unserer - Warehouse - Lösung.",https://www.stepstone.de/stellenangebote--IT-Data-Engineer-m-w-d-Kassel-Kasseler-Verkehrs-und-Versorgungs-GmbH--9317771-inline.html,stepstone,2023-03-18 12:46:25,Data Engineer
5,Junior Data Engineer (m/w/d),vor 1 Woche,Amprion GmbH,Halle,"Zur Unterstützung unserer Bereiche Anwendungsberatung/-entwicklung und Systemanalyse/-entwicklung suchen wir Sie als motivierte(n), engagierte(n) Junior (m/w/d) * Realisierung von BI / Big Lösungen im Backend (Datenmodell, Struktur, ETL, Datenhaltung)",https://www.stepstone.de/stellenangebote--Junior-Data-Engineer-m-w-d-Halle-CTH-Gesellschaft-fuer-Entscheidungs-und-Informationssysteme-mbH--9255380-inline.html,stepstone,2023-03-18 12:46:25,Data Engineer
6,Data Expert (m/w/d),vor 1 Woche,Ratiodata SE,Dortmund,"Abhängig von der Rolle verstärken Sie unser Team in verschiedenen Tätigkeitsschwerpunkten, z.B. als Data Engineer, Analyst oder Generalist*in. * je nach ausgeübter Tätigkeit variieren die Anforderungen an folgenden Themen: Big Lake, BI, ETL/ELT, SQL, Python, CI/CD oder Wrangling",https://www.stepstone.de/stellenangebote--Data-Expert-m-w-d-Dortmund-Amprion-GmbH--9308068-inline.html,stepstone,2023-03-18 12:46:25,Data Engineer
7,Client Engineer (m/w/d),vor 1 Woche,FALKE KGaA,"Hannover (Wedemark), Münster, Duisburg","Ratiodata SE - Die Ratiodata SE zählt zu den größten Systemhäusern und Technologiepartner in Deutschland mit einem Team von rund 1.500 Kolleginnen und Kollegen an bundesweit 14 Standorten und Außenstellen. Zum nächstmöglichen Zeitpunkt bieten wir im Bereich IT Service mehrere Stellen als Client (m/w/d) SEHannover (Wedemark), Münster, Duisburg, Deutschland",https://www.stepstone.de/stellenangebote--Client-Engineer-m-w-d-Hannover-Wedemark-Muenster-Duisburg-Ratiodata-SE--7504357-inline.html,stepstone,2023-03-18 12:46:25,Data Engineer
8,Data Engineer DWH / BI (m/w/d),vor 2 Wochen,DACHSER SE,Schmallenberg,Verstärken Sie das Team unseres Hauptsitzes am Standort Schmallenberg ab sofort als * Umsetzung von Business Intelligence (BI) und Warehouse (DWH) Lösungen * Mindestens 3 Jahre Berufs- oder Projekterfahrung im Warehouse/ BI Umfeld,https://www.stepstone.de/stellenangebote--Data-Engineer-DWH-BI-m-w-d-Schmallenberg-FALKE-KGaA--9241626-inline.html,stepstone,2023-03-18 12:46:25,Data Engineer
9,Data Integration Engineer (m/w/d) EDI,vor 2 Wochen,adesso SE,"Berlin, Hamburg, München, Köln, Frankfurt a. M., Stuttgart, Dresden, Dortmund, Kempten, Karlsruhe","Berlin, Hamburg, München, Köln, Frankfurt a. M., Stuttgart, Dresden, Dortmund, Kempten, Karlsruhe * Feste Anstellung * Home Office möglich,Vollzeit - DACHSER zählt zu den Weltmarktführern in der Systemlogistik. Das 1930 gegründete Familienunternehmen mit Hauptsitz in Kempten im Allgäu ist in der Logistik-Branche einer der großen Innovationstreiber und gilt als Vorreiter im Bereich der digitalen Vernetzung von Logistik-Services. Unsere leistungsfähige IT und die eigenentwickelten, hochmodernen Software-Lösungen schaffen die Basis für die weltweite Steuerung von Warenströmen und Verkehrsträgern. Zum Portfolio von DACHSER zählen Transportleistungen, wie die Distribution und Beschaffung von Waren, umfassende Warehouse-Services sowie die Durchführung kundenindividueller Value-Added-Services. Durch das ausgezeichnete Zusammenspiel der beiden Geschäftsbereiche DACHSER Road L",https://www.stepstone.de/stellenangebote--Data-Integration-Engineer-m-w-d-EDI-Berlin-Hamburg-Muenchen-Koeln-Frankfurt-a-M-Stuttgart-Dresden-Dortmund-Kempten-Karlsruhe-DACHSER-SE--9118207-inline.html,stepstone,2023-03-18 12:46:25,Data Engineer
